appstore_store_id,appstore_bundle_id,appstore_developer_url,url,status_code
13599,13599,,https://channelstore.roku.com/details/dc731f13f58f114657956a71d8f42886:2341fe23098ee4eeedef407f3ef97a21/jbs-jewish-broadcasting-serv,200
13644,13644,,https://channelstore.roku.com/details/dc537b47ba1779e1336922606788654d:69aa0ad2f9e5ecb0f90df1737593b286/buzz-and-biz,200
13873,13873,https://futuretodayinc.com,https://channelstore.roku.com/details/247e30bf3be60b4041534e74b1ff015f:798b75e82b10b4480f08469edd5f14f5/drinks-by-ifoodtv,200
13931,13931,https://futuretodayinc.com,https://channelstore.roku.com/details/79617f598c03cb2efa951a8857f2500e:663dfe2ff491ba926b652a017cecdb85/mexican-recipes-by-ifoodtv,200
13932,13932,https://futuretodayinc.com,https://channelstore.roku.com/details/5ba61c0aaa70718e2df5e2076edf38ce:edd073b0f317dd6c7d72f06447d50f43/italian-recipes-by-ifoodtv,200
13933,13933,https://futuretodayinc.com,https://channelstore.roku.com/details/017e8ebd538a478fa107961c6db77ceb:0ff7d3b63ce93b465827ac750511217f/indian-recipes-by-ifoodtv,200
,,,https://channelstore.roku.com/details/bd2efc87cdce69b62a0f4136b925e794:d135601330992db4e56e96a795a12715/ewtn-europe,200
13992,13992,https://futuretodayinc.com,https://channelstore.roku.com/details/b7c0f5e3b57212a0787c6562beb25c82:43b4ac044fb46b6c456a7a9c85c40ca8/healthy-recipes-by-ifoodtv,200
13993,13993,https://futuretodayinc.com,https://channelstore.roku.com/details/07ce6a834cc6d1be1a76ec5534787469:269ae24df20a1fafdb035ae7aef11096/vegetarian-recipes-by-ifoodtv,200
14006,14006,,https://channelstore.roku.com/details/5eab7d832cdbdedfb93ca47df7ae69ee:df320bc6a92587f8b35de3fcaa909457/westside-family-church,200
14009,14009,https://futuretodayinc.com,https://channelstore.roku.com/details/5742fb46c0ac73d14fb40713f5397258:612ccd63549f22fc11cb1886c43670aa/chinese-recipes-by-ifoodtv,200
14010,14010,https://futuretodayinc.com,https://channelstore.roku.com/details/08f28a84969483b1b86067a64628f5f5:69bec3efb9a242f12939f757b67e840d/thai-recipes-by-ifoodtv,200
14147,14147,,https://channelstore.roku.com/details/f49d64a743f1f9b783c9a94b8b644739:e0bf607deb5795dfb7644701f7100162/ipoint-global-entertainment,200
